substation,voltage,50 MVAR,63 MVAR,80 MVAR,125 MVAR,240 MVAR,330 MVAR
Amreli,400,1,,,1,,
APL-Mundra,400,,,2,1,,
Astha,400,1,,,,,
Asoj,400,1,,,,,
Aurangabad-PG,400,,,,1,,
Bableshwar,400,,,2,,,
Bachau,400,,1,,1,,
Bhadrawati,400,1,,,,,
Bhatapara,400,,,,1,,
Bhopal-BDTCL,400,,,,1,,
Bhopal-MP,400,,,1,1,,
Bhusawal (Khadka),400,1,,,,,
Bina-MP,400,1,,,,,
Bina-PG,400,,,,1,,
Birsingpur,400,1,,,,,
CGPL,400,,1,,,,
Champa ,400,,,1,,,
Chhegaon,400,1,,,,,
Chorania,400,1,,,1,,
Damoh,400,,1,,1,,
Dehgam,400,,1,,1,,
DGEN,400,,,,1,,
Dhariwal,400,,,1,,,
Dhariwal-MS,400,,,1,,,
Dhule-MS,400,,,1,,,
EMCO,400,,,1,,,
Essar_Mahan,400,,,1,,,
Gandhar,400,1,,,,,
GMR-CG,400,,,,1,,
Gwalior,400,,,,3,,
Hadala,400,1,,,1,,
Indore-PG,400,,1,,1,,
Itarsi,400,1,,,2,,
Jabalpur,400,,1,,1,,
Jabalpur (PS),400,,,,2,,
Jaigad,400,2,,,,,
Jetpur,400,1,1,,,,
JPL,400,,,,1,,
JP-Nigrie,400,,,,1,,
Julwania,400,1,,,,,
Kala,400,,,1,,,
Karad,400,,,1,,,
Kasor,400,1,,,1,,
Khandwa,400,,,,2,,
Kharghar,400,,,1,,,
Kolhapur,400,,,1,,,
Kolhapur-PG,400,,,,1,,
Koradi,400,1,,,,,
Kosamba,400,,,1,,,
Lonikhand,400,1,,,,,
Magarawada,400,,,1,,,
Mansar,400,,1,,,,
Mapusa,400,1,,,,,
MB Power,400,,,,1,,
Mouda,400,,,1,,,
Nagda,400,2,,,,,
Nagothane,400,,,1,,,
Nandgaonpeth,400,,,1,,,
Navsari,400,,1,,,,
Padghe,400,,,1,,,
Parli-M,400,1,,,,,
Parli-PG,400,,1,,1,,
Pirana-PG,400,,,,1,,
Pithampur,400,1,,,,,
Pune-PG,400,1,,,,,
Raigarh,400,,1,,1,,
Raigarh-PS(Kotra),400,,,1,,,
Raipur,400,,,1,1,,
Rajgarh,400,,,,1,,
Ranchodpura,400,1,,,1,,
RKM,400,2,,,,,
Sami,400,1,,,,,
Satna,400,1,1,,,,
Satpura,400,,2,,,,
Seoni,400,,,,2,,
Shujalpur,400,,1,,1,,
SKS,400,1,,,,,
Soja,400,1,,1,,,
Solapur-PG,400,,1,,,,
Tiroda,400,,,2,,,
Uno-Sugen,400,,,1,,,
Varsana,400,1,,,1,,
Vindhyachal,400,1,1,,,,
Vindhyachal-IV,400,,,1,,,
Vindhyachal-PS,400,,,,1,,
Vindhyachal-V,400,,1,,,,
Wardha,400,1,,,,,
Warora,400,,,,1,,
Zerda(Kansari),400,1,,,1,,
Akola(2),765,,,,,1,
Aurangabad-PG,765,,,,,1,
Bhopal-BDTCL,765,,,,,1,
Bilaspur,765,,,,,1,
Bina-NHPTL,765,,,,,,
Bina-PG,765,,,,,2,
Champa ,765,,,,,1,
Dharamjaygarh,765,,,,,,2
Dhule-BDTCL,765,,,,,1,
Ektuni (Aurangabad(3)),765,,,,,1,
Gwalior,765,,,,,1,
Indore-PG,765,,,,,2,
Jabalpur-PS,765,,,,,2,
Koradi(III),765,,,,,1,
Pune-PG(Shikrapur),765,,,,,1,
Raigarh-PS(Kotra),765,,,,,1,
Raipur-PS(Durg),765,,,,,1,
Sasan,765,,,,,1,
Satna,765,,,,,2,
Seoni,765,,,,,1,
Sipat,765,,,,,1,
Solapur,765,,,,,1,
Tamnar,765,,,,,1,
Tiroda,765,,,,,1,
Vadodora-PS ,765,,,,,1,
Vindhyachal-PS,765,,,,,1,
Wardha,765,,,,,1,1
