id,name,metadata,regions_id
1,ACBIL,not yet,WR
2,ACPL,not yet,WR
3,APL,not yet,WR
4,APML,not yet,WR
5,ATIL,not yet,WR
6,BALCO,not yet,WR
7,Balco,not yet,WR
8,BDTCL,not yet,WR
9,CGPL,not yet,WR
10,CSEPTCL,not yet,WR
11,CSPTCL,not yet,WR
12,DB-Power,not yet,WR
13,DD,not yet,WR
14,DGEN,not yet,WR
15,Dhariwal Infra,not yet,WR
16,DIL,not yet,WR
17,DNH,not yet,WR
18,Electricity Dep of DD,not yet,WR
19,Electricity Dep of DNH,not yet,WR
20,EPTCL,not yet,WR
21,ERTS-1,not yet,WR
22,ERTS-2,not yet,WR
23,ESSAR,not yet,WR
24,Essar,not yet,WR
25,GETCO,not yet,WR
26,GMR,not yet,WR
27,GMR-CG,not yet,WR
28,GMR-EMCO,not yet,WR
29,GPEC,not yet,WR
30,GSECL,not yet,WR
31,HAZIRA-IPP,not yet,WR
32,IEPL,not yet,WR
33,JAIGAD-IPP,not yet,WR
34,Jaypee,not yet,WR
35,Jhabua Power,not yet,WR
36,Jhabua Power Ltd,not yet,WR
37,JPL,not yet,WR
38,JPTL,not yet,WR
39,JPVL,not yet,WR
40,JTCL,not yet,WR
41,KSK,not yet,WR
42,KWPCL,not yet,WR
43,LANCO,not yet,WR
44,Mahan,not yet,WR
45,MB Power,not yet,WR
46,MB-Power,not yet,WR
47,MCCPL,not yet,WR
48,MEGPTCL,not yet,WR
49,MEGPTL,not yet,WR
50,MPPTCL,not yet,WR
51,MSETCL,not yet,WR
52,NHPTL,not yet,WR
53,NPCIL,not yet,WR
54,NRTS-1,not yet,WR
55,NSPCL,not yet,WR
56,NTPC,not yet,WR
57,OPTCL,not yet,WR
58,PGCIL,not yet,WR
59,Ratan India,not yet,WR
60,Rattan India,not yet,WR
61,Reliance,not yet,WR
62,RGPPL,not yet,WR
63,RKM,not yet,WR
64,RKMPPL,not yet,WR
65,RSPTCL,not yet,WR
66,RTCL,not yet,WR
67,SKS,not yet,WR
68,SPGCL,not yet,WR
69,SPL,not yet,WR
70,SRTCL,not yet,WR
71,SRTS-1,not yet,WR
72,SSNL,not yet,WR
73,SSNNL,not yet,WR
74,TPL,not yet,WR
75,TRN,not yet,WR
76,UPPTCL,not yet,WR
77,Vandana Vidyut,not yet,WR
78,WRST-2,not yet,WR
79,WRTGPL,not yet,WR
80,WRTMPL,not yet,WR
81,WRTS-1,not yet,WR
82,WRTS-2,not yet,WR
